dataset,target_model,budget,source,analysis_target,family,method,crc,n1,seeds,coverage_mean,coverage_variance,coverage_mse_to_target,coverage_bias,size_mean,infinite_rate_mean,expected_cost_mean,realized_cost_mean,conditional_variance_mean,split_budget_valid_rate,crc_selector_valid_rate,static_coverage_variance,static_coverage_mse_to_target,coverage_variance_ratio_to_static,coverage_mse_to_target_ratio_to_static
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Endpoint/block,Endpoint/block,False,,50,0.8967133355140686,0.0004361588360611779,0.00043823782278303724,-0.003286664485931401,5.2452199745178225,,9.833652787122091,,0.00035888231583668,1.0,,0.00044785843866614104,0.0004403734483340143,0.9738765609959072,0.995150421627243
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Endpoint/block,Endpoint/block + CRC,True,50.0,50,0.8886466658115387,0.0028105370219101214,0.0028832244786668043,-0.011353334188461295,6.849180052280426,,2.2995424142495553,,0.00322933585499517,1.0,1.0,0.00044785843866614104,0.0004403734483340143,6.275503103794934,6.547225972806465
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Endpoint/block,Endpoint/block + CRC,True,100.0,50,0.8955200040340423,0.0009365584528393024,0.0009378976476375131,-0.004479995965957717,5.511613330841064,,6.148793184285133,,0.0008816222979700719,1.0,1.0,0.00044785843866614104,0.0004403734483340143,2.0911930466882773,2.129777921865391
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Endpoint/block,Endpoint/block + CRC,True,200.0,50,0.8958533370494842,0.0009141502654921585,0.0009130620738074955,-0.0041466629505158,5.47018000125885,,8.062672538103442,,0.000857778400197562,1.0,1.0,0.00044785843866614104,0.0004403734483340143,2.041158961333355,2.0733813023053935
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Information-gain,Information-gain,False,50.0,50,0.9010133349895477,4.038532130834488e-05,4.06044626832196e-05,0.0010133349895476984,4.89343334197998,,10.003201328305376,,1.9413624102099096e-06,0.52,,0.00044785843866614104,0.0004403734483340143,0.09017430022893992,0.09220461141976466
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Information-gain,Information-gain,False,100.0,50,0.9012399995326996,4.693446392060704e-05,4.753337348329e-05,0.0012399995326995983,4.874026660919189,,10.008642409385264,,7.779437948001204e-06,0.56,,0.00044785843866614104,0.0004403734483340143,0.1047975428583911,0.10793878164797278
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Information-gain,Information-gain,False,200.0,50,0.9007666659355164,0.0001356746137929051,0.00013354889817372812,0.0007666659355163308,4.919386682510376,,10.015984161626177,,8.752165884036968e-05,0.44,,0.00044785843866614104,0.0004403734483340143,0.3029408448727358,0.30326282994344833
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Information-gain,Information-gain + CRC,True,50.0,50,0.9015666687488556,4.449995510298225e-05,4.606440696956329e-05,0.001566668748855582,4.867326641082764,,9.448836097922277,,1.2961346929063324e-05,0.86,1.0,0.00044785843866614104,0.0004403734483340143,0.09936165373039901,0.10460305257692189
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Information-gain,Information-gain + CRC,True,100.0,50,0.9015000009536743,4.744333856527697e-05,4.874447465499517e-05,0.0015000009536743075,4.863660001754761,,9.738191157789952,,1.4944729866368589e-05,0.84,1.0,0.00044785843866614104,0.0004403734483340143,0.10593378279658566,0.11068895011586502
autoif,llama_31_8B_instruct,10.0,dataset_autoif_attack_autoif_helper_qwen25_14b_instruct_lm_target_llama_31_8B_instruct_judge_autoif_10_calibration_lpb_unified_aht_v1,0.9,Information-gain,Information-gain + CRC,True,200.0,50,0.8976066660881042,0.0002068422830656661,0.00020843348461818307,-0.0023933339118957786,5.137299981117248,,9.828606173542124,,0.0001117073810995442,0.94,1.0,0.00044785843866614104,0.0004403734483340143,0.46184746162583307,0.47331074433917847
